,RA,DEC,z,mstar,plugmag_r,specmag_r,flux,flux_plugmag,comoving_distance,completeness,environment,cluster_mass,cluster_name
901,146.41187,0.21531922,0.11973896,10.6445875,19.6114,18.519718,0.00014194204,5.1932908e-05,514.911467662173,0.8745342897665381,Field,,
902,146.58882,0.1725996,0.057426017,10.442291,17.7991,16.648996,0.0007950639,0.0002756507,250.72746890396016,0.9456262649948984,Field,,
904,146.6088,0.8046988,0.14291926,10.7882595,19.334,18.171682,0.00019558094,6.70503e-05,611.0590247596188,0.865696021537838,Field,,
905,146.35326,1.0603733,0.12761885,10.88313,19.0306,17.810637,0.00027273773,8.866651e-05,547.7260559395856,0.9052366137563705,Field,,
906,146.58351,1.2272745,0.13370642,10.829202,18.9256,17.76636,0.0002840906,9.767004e-05,572.984992904841,0.9098980160007335,Field,,
907,146.52026,0.87187463,0.026808288,10.726364,16.2152,14.904728,0.0039637685,0.0011855484,117.90264462514577,0.9479738655884831,Field,,
910,146.37291,1.070121,0.12799211,11.214505,18.3416,17.168327,0.000492798,0.00016724839,549.2771111482031,0.9404399057449561,Field,,
912,146.51129,0.81325716,0.22025645,11.501251,19.514,17.942596,0.00024152454,5.680679e-05,923.400870397689,0.8900572104892476,Field,,
913,146.53088,0.7819304,0.02025769,8.306102,19.5849,18.728336,0.00011712903,5.321571e-05,89.2305219069669,0.8682865119225838,Field,,
914,146.37978,0.9266711,0.08535129,10.346673,19.0712,17.834484,0.0002668139,8.541268e-05,370.1460071334404,0.9025707254511147,Field,,
915,146.47466,0.9057312,0.2181633,11.639188,19.5531,17.957657,0.00023819786,5.4797405e-05,915.1187396024142,0.8884174453038128,Field,,
916,146.36652,0.8511818,0.1427506,11.192712,18.7862,17.38238,0.00040462243,0.00011105056,610.3636880262026,0.9350840565774519,Field,,
918,146.43634,1.0591927,0.06258034,10.8944235,17.5176,16.483894,0.00092564,0.00035723948,272.8937424658786,0.9463446999645727,Field,,
919,146.5912,0.8967179,0.026303865,9.0779705,19.0382,18.01183,0.00022660347,8.804834e-05,115.6979450839093,0.8818643942084619,Field,,
920,146.83636,0.5118149,0.06357722,9.982824,19.2156,18.045584,0.00021966777,7.477566e-05,277.17435911197094,0.8780903386341075,Field,,
921,146.78188,0.70441663,0.08525799,9.944739,19.321,18.330296,0.00016899758,6.7857865e-05,369.74980184939034,0.8670346461084066,Field,,
922,146.8068,0.66563517,0.020075804,9.863219,16.848,15.830273,0.0016900203,0.0006619128,88.43312459571328,0.9476239746761439,Field,,
924,146.79909,0.70274156,0.030532537,9.564083,17.952,16.95033,0.0006023753,0.0002394418,134.1639463183756,0.9433564191804606,Field,,
925,146.74774,0.26577222,0.091329984,10.542185,18.7715,17.656303,0.00031439707,0.00011256442,395.4972404503018,0.9197812615187912,Field,,
926,146.85248,0.68705165,0.06253826,10.282388,18.351,17.373882,0.00040780153,0.00016580615,272.7130003362956,0.9353704586727764,Field,,
927,146.72475,0.6500452,0.3121489,11.673248,19.505,18.005663,0.00022789594,5.7279776e-05,1277.6053925507856,0.8826083972387986,Field,,
928,146.68492,0.6784792,0.21093862,11.325093,18.943,17.640179,0.0003191031,9.611684e-05,886.4589440720207,0.9210558651456452,Field,,
929,146.6113,0.69305474,0.025183247,8.826766,19.149,18.249321,0.00018208369,7.950605e-05,110.7981256009786,0.8634329466939435,Field,,
932,146.67519,0.27798104,0.20717408,11.34083,19.0294,17.706676,0.000300145,8.876509e-05,871.480196772304,0.9154864221224992,Field,,
933,146.72511,0.50828314,0.0059220125,6.712927,19.2016,18.028622,0.0002231273,7.574609e-05,26.172646453094888,0.880063759401469,Field,,
934,146.63864,0.19621885,0.14258549,10.942278,19.261,17.820358,0.00027030628,7.17134e-05,609.6828520153688,0.9041883998992865,Field,,
935,146.61674,0.13787024,0.09155164,10.699605,18.9031,17.644945,0.00031770472,9.971493e-05,396.43564548448813,0.9206964660084453,Field,,
936,146.66771,1.1020896,0.12819219,10.7238655,19.3725,18.22218,0.00018669368,6.471438e-05,550.1083984196684,0.8638820154020698,Field,,
937,146.81624,0.94410753,0.06297942,10.740011,18.6732,17.294514,0.00043872546,0.00012323078,274.60766220870494,0.9376797955543688,Field,,
938,146.74791,0.73472124,0.2621004,11.512348,19.081,17.841204,0.00026516677,8.464491e-05,1086.9656143201669,0.901851521361437,Field,,
939,146.7676,1.0747132,0.085572615,10.552546,18.3626,17.292555,0.00043951807,0.00016404391,371.0858524695257,0.9377287591332428,Field,,
940,146.71326,1.0093138,0.16143097,10.959341,19.4562,18.009775,0.00022703382,5.9913007e-05,687.0064739790421,0.8821130236761555,Field,,
942,146.77792,1.0396276,0.0864859,11.042587,17.4942,16.053112,0.0013764413,0.00036502338,374.9629290005234,0.947367481150467,Field,,
943,146.7815,0.7379819,0.2618826,11.857283,19.181,17.757278,0.00028647613,7.719691e-05,1086.124135019928,0.9107630110622258,Field,,
944,146.77164,1.010302,0.16167693,10.873592,19.2622,17.73542,0.000292302,7.163439e-05,688.0105537670488,0.9128342957619653,Field,,
946,146.67719,1.1295687,0.085772544,10.523621,18.9646,17.857195,0.0002612906,9.422391e-05,371.9347428858205,0.9000641306974403,Field,,
947,146.69212,1.066522,0.21911101,11.450919,19.1356,17.810123,0.00027286593,8.0493664e-05,918.8698140872066,0.9052893977956317,Field,,
948,146.7989,0.8505668,0.12346702,10.997365,19.0352,17.515945,0.0003577843,8.8291534e-05,530.4531076068531,0.9292588316027415,Field,,
949,146.7823,0.7944099,0.06999054,10.633749,17.898,16.823454,0.00067704555,0.00025165107,304.66286531663707,0.9445228042137882,Field,,
951,146.9038,0.6322135,0.062690124,10.322549,18.304,17.359306,0.00041331167,0.00017314083,273.3652608075708,0.935812662286961,Field,,
952,146.87103,0.4225204,0.12428512,10.4029,18.7227,17.472832,0.00037227813,0.000117738644,533.8595955195633,0.931450047622128,Field,,
953,146.8769,0.36161608,0.12584873,10.707907,18.2705,17.173288,0.0004905523,0.00017856673,540.3663199647691,0.9403428398327883,Field,,
954,147.02283,0.66094744,0.3129872,11.581451,19.5569,18.263502,0.0001797209,5.4605935e-05,1280.7524468961171,0.8636262723985454,Field,,
956,146.91731,0.69489354,0.06181516,10.27064,18.966,17.905617,0.00024989224,9.410275e-05,269.6066293462202,0.8944790393014272,Field,,
957,146.98213,0.52149844,0.21406645,11.608764,19.0026,17.611052,0.00032777755,9.098285e-05,898.8807836514342,0.9233171372500425,Field,,
958,146.8965,0.5474319,0.036803395,10.31605,17.6027,16.442957,0.00096121064,0.00033030938,161.47916207635717,0.9464858175341012,Field,,
